metric_id,release_id,period_type,period,period_start,period_year,period_month,event_type,sex,age_group,age_group_order,source_status,statistic,value,unit,numerator,denominator,comparison_n,status_flag
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,45_54,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,55_64,3,hospital_registered,annual_count,82,count,82,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,55_64,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,65_74,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,75_84,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,85_plus,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,all,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,under_45,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,unknown,3,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,45_54,4,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,55_64,4,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,65_74,4,hospital_registered,annual_count,125,count,125,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2011,2011-01-01,2011,,all_cvd,all,65_74,4,hospital_registered,annual_previous_5yr_mean,,count,,,1,insufficient_history
